score,id,Title,Parent,Parent Slug
12877.5,3422,Today's Minimum Mortgage Requirements,146,home/mortgage
12263.1,3468,Benefits of Closing at the End of the Month: When is Your First Mortgage Payment Due?,146,home/mortgage
7184,3350,How to Lower Your Mortgage Payment,150,home/refinance
5767.6,7077,Home Loans For Bad Credit,146,home/mortgage
5179.2,3325,Get a Home Equity Loan with Bad Credit,142,home/home-equity
4059.9,6016,Unsecured Loans after Bankruptcy: What You Need to Know,3123,personal/unsecured
3807.3,3314,How Much are Home Equity Loan Closing Costs?,142,home/home-equity
3687.1,3040,Car Loan Documentation Checklist: The 8 Things You Need,99,auto
3612.1,3569,Refinancing an Upside Down Car Loan,7509,auto/refinance/car-loans
3380.8,3527,Understanding Construction Loans,146,home/mortgage
3340.7,2353,Getting an FHA Construction Loan,27,home/fha
3284.2,7073,What Credit Score Do You Need to Buy a House?,146,home/mortgage
3277.1,5514,"Letter of Explanation: What, Why and How",146,home/mortgage
3030.7,5775,FHA Refinance: Conventional or Streamline?,27,home/fha
3023.1,7803,How to Qualify for a Home Equity Loan in 2018,142,home/home-equity
3011.8,411,Bad Credit Motorcycle Loans,113,auto/motorcycle
2920.7,16713,Can You Get a Home Equity Line of Credit on an Investment Property?,7471,home/home-equity/heloc
2800.4,3280,What Credit Score Do You Need for a Personal Loan?,164,personal
2655.3,3284,How to Qualify for a Personal Loan: Are you a good candidate?,164,personal
2654.7,3415,Do No Income Verification Mortgages Still Exist?,146,home/mortgage
2487,3329,How Much is My House Worth: Understanding Home Equity,142,home/home-equity
2453.8,3368,Learn How to Refinance With Bad Credit,150,home/refinance
2441.8,7799,How to Get a Bridge Loan,146,home/mortgage
2392.6,3000,Car Loans After Chapter 7 Bankruptcy,99,auto
2311,16226,How to Pay Off Your Car Loan Faster: 11 Hacks For Successful Payoff,109,auto/refinance
2279.5,401,Bad Credit Boat Loans: How to Get Approved,1389,boat
2269,6068,Q&A: Can You Buy a Money Order With a Credit Card?,133,credit-cards/tips
2257,19119,Toyota Financing: Know Your Options in 2018,99,auto
2237.2,3270,Can You Use a Personal Loan to Buy a Car Instead of an Auto Loan?,164,personal
2167.8,2218,Refinance Your Car into Someone Else's Name: Is it Possible?,7509,auto/refinance/car-loans
2141.7,3266,How to Finance a New AC Unit: What You Need to Know,164,personal
2098.6,3400,Complete Guide to HomeStyle Renovation Mortgage,146,home/mortgage
2092.5,3363,How Much Does It Cost To Refinance?,150,home/refinance
2009.6,441,84 Month Auto Loan: A Good Idea?,99,auto
1950.5,3288,Personal Loans With a Cosigner: Getting a Joint Personal Loan,164,personal
1933.8,2228,How Soon Can You Refinance a Car Loan?,7509,auto/refinance/car-loans
1903.5,3301,The Pros and Cons of a Home Equity Loan,142,home/home-equity
1809.6,3453,Investment Property Mortgage Rates,146,home/mortgage
1702.1,376,Bad Credit RV Loans: How to Get Approved,121,auto/rv
1639.7,407,Frequently Asked Questions About Buying a Boat,1389,boat
1631.8,3326,Home Equity Loan vs Home Equity Line of Credit,142,home/home-equity
1555.9,2368,Understanding the FHA CAIVRS Report,7503,home/fha/requirements
1541.1,3399,How To Buy Your Parent's Home,146,home/mortgage
1533.2,8286,Mobile & Manufactured Home Loan Guide,146,home/mortgage
1479.2,3278,Can You Refinance a Personal Loan?,164,personal
1475.4,29547,Understanding the EIN,7494,business/requirements
1468.1,3317,Can You Get a Home Equity Loan After Bankruptcy?,142,home/home-equity
1456.9,8456,"FHA Mortgage Insurance: What, Why and How Much",27,home/fha
1441.9,3403,Down Payment Requirements for Rental Property: What You Should to Know,146,home/mortgage
1415,15709,What Is a Private Party Auto Loan and How Do You Find One?,99,auto
1300,127,How to Get a Used Boat Loan,1389,boat
1262.2,14653,Financing Options for Plastic Surgery,164,personal
1247.6,3360,Can You Refinance After Bankruptcy?,150,home/refinance
1239.1,16692,How to Find the Best Boat Loan Rates,1389,boat
1231.7,3471,Getting a Mortgage After Bankruptcy: What You Need to Know,146,home/mortgage
1223,2226,Best Companies to Refinance Auto Loan with Bad Credit,109,auto/refinance
1222.9,9015,Collateral Loans 101: How do These Loans Work?,164,personal
1206,3404,Borrowing Money for a Down Payment,7449,home/mortgage/down-payment
1194.8,2359,FHA Loan Credit Score: What's the Real Minimum?,7503,home/fha/requirements
1190.1,3344,Can I Refinance? Refinance Requirements for Your Mortgage,150,home/refinance
1165.3,5783,What to do when you are denied credit by a lender,20369,credit-repair
1143.1,10808,What Credit Score is Needed for Refinancing?,150,home/refinance
1127,2229,How Often Can You Refinance Your Car?,7509,auto/refinance/car-loans
1102.9,2222,The Best (and Worst) Time to Refinance Your Auto Loan,109,auto/refinance
1083.2,3410,What happened to stated income loans?,146,home/mortgage
1071,3241,Using a Personal Loan to Pay Off Your Car,164,personal
1051,3454,The Lesser-Known 40-Year Mortgage: What You Should Know,146,home/mortgage
1043.7,7633,How to Buy a House With No Money Down?,7449,home/mortgage/down-payment
1011.2,3262,Types of Personal Loans: Which Option Works For You?,164,personal
1008.1,16061,Can You Lease a Boat and Is This The Best Decision?,1389,boat
1003.7,3261,How to Finance a Tiny House,164,personal
1001.1,30545,LendingTree Reveals the Cities with the Highest Share of Million-Dollar Homes,146,home/mortgage
996.2,5734,When is your mortgage payment late?,146,home/mortgage
991.7,2216,Auto Refinance With Bad Credit,109,auto/refinance
979.7,3022,What Credit Score is Needed to Buy a Car?,99,auto
956.6,6110,Can You Get a Mortgage with Credit Card Debt?,146,home/mortgage
946,5750,Getting Your Prequalification Letter,2990,home/mortgage/pre-approval
942.2,2346,203k Loan: Rehab Loans Courtesy of the FHA,27,home/fha
924.6,3359,Mobile Home Refinancing: Property Requirements,150,home/refinance
918.7,7064,Mortgage Application: How to Apply For a Mortgage,146,home/mortgage
896,3526,When is Your Mortgage Loan Approved?,146,home/mortgage
894.3,15796,Buying a Car Out of State: A How-To Guide,99,auto
881.3,6096,Business Loan vs. Personal Loan: Which Is Better for Your Small Business?,129,business
879.5,26278,How Long Does It Take to Refinance a House?,150,home/refinance
871.2,2999,Combining Auto Loans: Learn How to Consolidate Your Car Loan,99,auto
865.9,7834,Tips for First-Time Homebuyers with Bad Credit,146,home/mortgage
856.7,271,RV Financing: How To Finance an RV,121,auto/rv
850.3,9673,Long Term Personal Loans,164,personal
809.9,20981,Buying A Fixer-Upper: What Loans Are Available?,146,home/mortgage
778.8,3512,Everything You Should Know Before Buying a Condo,146,home/mortgage
766.4,6084,How to Get Medical Loans with Bad Credit,3113,personal/medical
765.3,2269,VA Construction Loans: A Few Things to Know,154,home/va
753.2,3535,No Closing Cost Mortgage Loans,7457,home/mortgage/closing-costs
750.8,7381,What Is a Reverse Mortgage?,234,home/reverse
748.8,3312,How Long Are Home Equity Loan Terms?,142,home/home-equity
745.1,3432,Mortgage News: CFPB Says Some Lenders Discriminated Against Social Security Recipients,146,home/mortgage
736.8,7937,How to Get a Business Auto Loan,99,auto
729,5834,10-Year Fixed Refinance Mortgage Loan,5299,home/mortgage/rates
724.5,2335,"What's the Difference Between these Types of Mortgages: FHA, HomeReady and Home Possible Mortgage?",27,home/fha
722.8,2306,How to Get Out of a Reverse Mortgage (Without Actually Dying),234,home/reverse
717.5,26178,What is a credit score & how is it calculated?,20369,credit-repair
716.3,6039,Can You Have Two of the Exact Same Rewards Credit Cards?,133,credit-cards/tips
713.6,3378,Should You Refinance Your ARM to a Fixed Rate Mortgage?,150,home/refinance
685,7904,How Much Equity Do You Need for a Reverse Mortgage?,234,home/reverse
653.5,2284,VA Loan Benefits and Disadvantages,154,home/va
651.6,3331,How to Refinance a HELOC,7471,home/home-equity/heloc
651.5,22572,Cash-Out Refinance: Know Your Options,7459,home/refinance/cash-out
648.4,3863,Classic Car Loans: How To Finance a Classic Car,99,auto
643.9,3328,"Cash-Out Refinance, HELOC and Home Equity Loans: Which Is Best for You?",142,home/home-equity
640,3276,Which is Better: A Personal Loan or Home Equity Loan?,164,personal
637.6,26297,5 Signs You Have Too Much Debt,138,debt-consolidation
636.2,3313,Using a Home Equity Loan to Buy a Car,142,home/home-equity
631.8,16844,How to Find the Best RV Loan Rates and Financing Terms,121,auto/rv
631.2,9931,What is PITI?,146,home/mortgage
628,26589,Using a HELOC for Debt Consolidation,7471,home/home-equity/heloc
617.9,6371,Personal Loans for People With Bad Credit,164,personal
604.5,3257,Using Personal Loans to Rebuild Credit,164,personal
595.3,2224,Should You Refinance Your Car or Trade It In?,7509,auto/refinance/car-loans
590.6,3472,Mortgages for a Vacation Home,146,home/mortgage
587.1,13604,Pros and Cons of FHA Loans,27,home/fha
578.1,3005,How to Get a Car Loan,99,auto
565.9,12160,New FHA Guidelines and Regulations,7503,home/fha/requirements
553.1,3549,Escrow: What it is and how it works,146,home/mortgage
547.1,1055,Types of MBA Degrees: Exploring Programs & MBA Financing,168,student
543.8,17150,Should I Pay Off My Car Loan Early or Not?,7509,auto/refinance/car-loans
543,26453,LendingTree Reveals the Cities With the Highest Rates of Denied Mortgage Applications,146,home/mortgage
539.9,3322,How to Get a Home Equity Loan,142,home/home-equity
538,16043,Home Improvement Loans with No Equity,7430,home/home-equity/home-improvement
535.7,3274,Pros and Cons of a Personal Line of Credit,7473,personal/personal-line-credit
533.8,5522,Credit Catastrophe? Improve Credit Scores in 5 Steps,20369,credit-repair
531,2341,An FHA Title 1 Loan Can Help Improve Your Home,27,home/fha
523.9,3016,First-Time Car Buyer Tips & Terminology,99,auto
515.6,3956,Short Term Business Loans: The Basics,8018,business/short-term
515.3,21025,Best Ways to Get a Personal Loan,164,personal
511.9,3511,What is a Balloon Mortgage Loan?,146,home/mortgage
511,671,When Business Loans are Necessary,129,business
507.6,13597,I Have a VA Mortgage. Can I Get a Home Equity Loan?,154,home/va
507.5,21208,How to Improve Your Chances of Getting Approved for a Personal Loan,164,personal
506.3,29829,13 Tips for Recovering After Bankruptcy,23650,bankruptcy
505.2,2254,VA Loan Closing Costs,154,home/va
504,2273,How to Apply for a VA Home Loan with a Non-VA Co-Borrower,7501,home/va/requirements
503.3,7661,Mortgage APR vs Interest Rate: What's the Difference?,5299,home/mortgage/rates
502.5,3507,How Do 80 10 10 Loans Work?,146,home/mortgage
499.7,6118,4 Credit Cards Perfect for a Home Remodeling Project,133,credit-cards/tips
497.2,2234,Cash Back Refinancing on Cars and Trucks: Pros and Cons,7509,auto/refinance/car-loans
497.1,29737,Does Checking My Credit Lower My Credit Score?,20369,credit-repair
495.8,2355,FHA vs. Conventional Mortgage: Which Loan Is Right for You?,7503,home/fha/requirements
488.6,30284,What Is the Debt Avalanche Method?,138,debt-consolidation
488,5188,What You Should Know Before Applying For a Mortgage,146,home/mortgage
487.2,2365,Getting An FHA Manufactured Home Loan,7503,home/fha/requirements
485.2,7817,How Much of an FHA Loan Can I Qualify for and Afford?,27,home/fha
481.6,2350,How to Qualify for an FHA Loan After Bankruptcy,7503,home/fha/requirements
480.5,3436,"Financing a Rental Property: How Can I, and Should I?",146,home/mortgage
478.6,24912,LendingTree Study: The Cost of Bankruptcy,23650,bankruptcy
478.5,5518,Is a 15/15 ARM Money Saver Loan for You?,146,home/mortgage
473.1,2265,VA Loans for Land: A Guide to Buying Land with a VA Loan,154,home/va
466.1,12776,FHA Home Requirements,7503,home/fha/requirements
465.4,29878,Where to Get the Best Auto Loan Rates in 2018,99,auto
461.6,3014,Understanding Car Loan Interest Rates,99,auto
454.6,3017,What Are the Different Types of Auto Loans?,99,auto
437.1,6008,Mortgage APR: How to Compare Home Loans,5299,home/mortgage/rates
435.9,3251,What are Personal Loan Used For: 15 Uses for a Personal Loan,164,personal
435,5995,How Long Does Negative Information Stay on my Credit Reports?,20369,credit-repair
430.6,3425,How Does a Mortgage Work?,146,home/mortgage
430.1,30311,401(k) Loan to Pay Off Debt: Is It a Good Idea?,138,debt-consolidation
425.8,7603,Understanding 5 Year Fixed Mortgage Rates,5299,home/mortgage/rates
419.6,3583,Vacation Financing: Paying for a Vacation with a Personal Loan?,3121,personal/travel
419.2,403,Boat Financing: Learn How To Finance A Boat,1389,boat
416.1,2233,How to Refinance a Car Loan in 7 Steps,7509,auto/refinance/car-loans
407.1,23229,Understanding Lender Fees and Other Closing Costs,146,home/mortgage
404.5,5503,How Lease-to-Own Homes Work: A Guide,146,home/mortgage
402.4,8459,Getting an ARM Mortgage: Pros and Cons,7455,home/mortgage/types
400.1,405,Houseboat Financing: Learn How To Get A Houseboat Loan,1389,boat
396.8,12510,VA Home Improvement Loan: 9 Things To Know,154,home/va
395.5,5502,Buying a Home with a Shared-Equity Mortgage,146,home/mortgage
393.9,18824,Uber Car Financing Is Nearing an End: What You Can Do Instead,99,auto
386.3,5805,Hard Credit Inquiry Versus Soft Credit Inquiry,2206,credit-score
383.6,3366,Refinance Before a Divorce? See the Pros and Cons,150,home/refinance
381.4,29538,Are Balance Transfers the Best Way to Pay Off Debt?,7443,debt-consolidation/credit-card
380.9,29123,Places With the Most Student Debt,168,student
380.6,2270,VA Loan Refinance: When Is the Funding Fee Refundable?,7469,home/refinance/va
376.1,26490,How Does A Home Equity Loan Work?,142,home/home-equity
364.6,22542,Best Places for a Fresh Start,25,home
360.5,12645,When to Buy a House: Find Out if You’re Ready,146,home/mortgage
352.4,14713,What Is a USDA Direct Loan?,14502,home/usda
346.5,7070,The Complete Guide to Hard Money Loans,146,home/mortgage
346.4,2357,FHA Interest Rates: How Much Can You Save with a 15 Year Loan?,27,home/fha
345.2,3318,Is Home Equity Interest Tax Deductible?,142,home/home-equity
339.1,2293,What is an Excellent Credit Score & Why Everyone Wants One,2206,credit-score
338.2,2279,VA Loans: Can They Be Used for Buying a Second Home?,154,home/va
335.4,12902,Get a VA Home Loan with Bad Credit,7501,home/va/requirements
333.9,3003,No Money Down Car Loans,99,auto
332.1,3467,Calculating your debt-to-income ratio,146,home/mortgage
331,20722,Understanding Mortgage Amortization,146,home/mortgage
327.7,414,How to Finance a Motorcycle,113,auto/motorcycle
326.2,2344,The Different Types of FHA Loans,27,home/fha
319,16093,How to Handle a Reverse Mortgage After Death,234,home/reverse
317.4,2310,Is a Reverse Mortgage Foreclosure Possible?,234,home/reverse
313.6,470,Fast Cash Loans: Advantages of Personal Loans,7592,personal/emergency
312.9,5760,Signature Loans with No Credit Check: Don't Get Ripped Off,3119,personal/signature
312.4,12919,What is a Home Equity Line of Credit?,7471,home/home-equity/heloc
308.9,29581,"LendingTree Reveals the Cities with the Highest Share of Vacation, Investment and Second Homes",146,home/mortgage
306,5788,Down Payment on a Used Car: How Much To Put Down,99,auto
300.8,3088,How Does Debt Consolidation Affect Your Credit?,138,debt-consolidation
299.9,3018,How to Get a Car Loan with No Credit,99,auto
298.1,3026,How Much Money Should You Put Down on a Car?,99,auto
289.8,3365,Why You Don't Actually Skip a Mortgage Payment When Refinancing,150,home/refinance
288.9,22714,Best Debt Consolidation Loans,138,debt-consolidation
286.1,13599,The Different Types of VA Loans,154,home/va
285.2,3393,Mortgage Application Checklist - All the Documents You'll Need,146,home/mortgage
279.9,26705,Survey: Most Small Business Owners Are Using Tax Reform Savings to Pay Off Debt,8474,business/small
279.7,3269,How to Qualify for Low Interest Personal Loans,164,personal
277.4,5824,The 10-Year Fixed Rate Mortgage,5299,home/mortgage/rates
276.4,7639,How to Get a Personal Loan:  4 Things to Know,164,personal
275.8,3416,Salary Requirements to Buy a House Vary Greatly Depending on Where You Look,146,home/mortgage
274.9,5499,Help for Single Women Home Buyers,146,home/mortgage
270.6,2235,Auto Loan refinance: Frequently Asked Questions,109,auto/refinance
270.3,7806,What You Need to Know about Commercial Mortgage Refinance,150,home/refinance
268.2,3430,Guide to Understanding Private Mortgage Insurance (That’s PMI),7449,home/mortgage/down-payment
267.4,3470,5 Ways to Accelerate Your Mortgage Payoff,146,home/mortgage
264.4,2322,Reverse Mortgage FAQ: What Consumers Need to Know,234,home/reverse
261.7,22273,LendingTree Ranks Best Cities for First-Time Homebuyers,146,home/mortgage
261.4,445,Motorcycle Financing Explained,113,auto/motorcycle
260.5,12763,Getting a Loan: Where to get a Personal Loan,164,personal
260.4,16049,Can You Take Out A Student Loan For Living Expenses?,168,student
260.3,8490,How to Refinance Your Investment Property,150,home/refinance
256.5,25532,An Overview of Major Debt Relief Companies in the U.S.,19622,debt-relief
253,29891,LendingTree Reveals How Your Neighbors Are Making the Most of Increasing Home Prices,142,home/home-equity
252.9,19875,What is a Good Debt-to-Income (DTI) Ratio?,138,debt-consolidation
251.5,2324,Understanding Jumbo Reverse Mortgages,234,home/reverse
251.2,2267,Joint VA Loans: What They Are and What You Need to Know,154,home/va
251.2,3098,The Pros and Cons of Debt Consolidation Options,138,debt-consolidation
250.3,3523,Ups and Downs of Down Payments,7449,home/mortgage/down-payment
250.2,7945,How to Find the Best Refinance Companies for Mortgages in 2018,150,home/refinance
249.1,2342,Buy a House at Half Price Through HUD’s Good Neighbor Next Door Program,27,home/fha
248.9,5554,Why It Can Be Difficult to Get Small Mortgage Loans,146,home/mortgage
244.3,26513,Places That Buy the Oldest Used Cars,99,auto
243.5,3294,Second Mortgage: What You Need to Know,142,home/home-equity
239.5,3962,The Pros and Cons of Small Business Administration (SBA) Business Loans,8015,business/sba
235.6,26132,Metros With the Most Fraud Alerts,176,finance
235.5,12812,How to Find Grants to Pay Off Student Loans,168,student
233.3,3498,How Much to Put Down On a Home,146,home/mortgage
230,3357,Can I Refinance a Mortgage When my Home is for Sale?,150,home/refinance
229.7,3500,Interest-Only Mortgages: What You Need to Know,146,home/mortgage
223.6,18403,Understanding Stated-Income Loans,146,home/mortgage
223,13584,Can You Have More Than One FHA Loan at the Same Time?,27,home/fha
222.3,1059,Student Loan Options: Federal vs Private Loans,168,student
222.1,5762,Loans for Bad Credit,20369,credit-repair
220.8,3315,Using a Home Equity Loan to Pay Off Credit Cards Quickly,7471,home/home-equity/heloc
220,19303,LendingTree’s State Migration Study Finds Homebuyers Heading South,146,home/mortgage
216.9,3316,Top 10 HELOC FAQs,7471,home/home-equity/heloc
215.8,2364,FHA Cash-out Refinance Loans,27,home/fha
215,23661,LendingTree Ranks Most Popular Cities for Millennial Homebuyers,25,home
214.3,12660,18 Frequently Asked Mortgage Questions,146,home/mortgage
211.7,3298,Reverse Mortgage vs HELOC: Which Is Better for Me?,7471,home/home-equity/heloc
211.7,7827,How to Apply for a Personal Loan,164,personal
211,3356,How Often Can You Refinance Your Home?,150,home/refinance
210.5,7846,Selling a House with a Reverse Mortgage,234,home/reverse
210.4,3455,How to Get Preapproved for a Home Loan,146,home/mortgage
210.3,29073,Mortgage Borrowers Could Save the Most Ever by Shopping Around,5299,home/mortgage/rates
209.7,3506,How much can you afford to borrow?,146,home/mortgage
208.3,6063,How Chip Cards Work,133,credit-cards/tips
207.7,3559,Understanding Small Business Loan Requirements,8474,business/small
207.2,3075,Debt Consolidation vs Bankruptcy: Which is Better?,138,debt-consolidation
207.2,3063,Finding the Best Debt Consolidation Companies,138,debt-consolidation
206.1,3087,How to Avoid Debt Consolidation Scams,138,debt-consolidation
206,21526,LendingTree Ranks Most Competitive Housing Markets,146,home/mortgage
206,30265,LendingTree Study: Shopping Around for Personal Loans Can Save Consumers 35%,164,personal
204.4,12617,Home Renovation Loan Options,146,home/mortgage
204.3,3531,Why Loan-To-Value Ratio Matters,146,home/mortgage
202.8,24910,Tax Benefits of Buying a Home,146,home/mortgage
201.6,2990,Getting Pre-Approved for a Mortgage,146,home/mortgage
201.3,7727,Refinancing a Second Mortgage,150,home/refinance
200.7,26889,LendingTree Reveals Cities Where Borrowers Save the Most by Shopping Around for Mortgage Loans,146,home/mortgage
200.4,22901,How Much Does a Tesla Cost & How to Pay For It,99,auto
198.7,3495,Five Smart Tips for Home Buyers,146,home/mortgage
198.6,7899,Can You Refinance a Reverse Mortgage and Is It a Smart Move?,234,home/reverse
197.8,13585,Easy Ways to Benefit from Refinancing Your Home Loan,150,home/refinance
194.9,3273,Do You Need a Personal Line of Credit?,7473,personal/personal-line-credit
194.8,2994,How to Get Approved for a Home Loan,2990,home/mortgage/pre-approval
194.3,28898,Top Places for Rising Credit Scores,20369,credit-repair
193.4,3345,Should I Refinance My Home?,150,home/refinance
193.3,2311,How to Get a Reverse Mortgage on a Manufactured Home?,234,home/reverse
192.5,19886,Understanding Debt Restructuring,138,debt-consolidation
191.3,5328,Financing a Car: A Guide to Getting Your Wheels,99,auto
190.5,14703,How to Find USDA Homes,14502,home/usda
190.3,7099,Understanding Mortgage Closing Costs,7457,home/mortgage/closing-costs
189.7,21056,Fair Debt Collection Practices Act (FDCPA): Know Your Rights,138,debt-consolidation
188.5,18083,8 Fast Ways to Pay off Credit Card Debt,7443,debt-consolidation/credit-card
188.3,3248,Using a Personal Loan to Pay Off Credit Cards,164,personal
187.1,26410,Buying a Beach House: Things to Consider,146,home/mortgage
186.3,3293,Getting a Loan? Ways to Get a Personal Loan,164,personal
184.9,5791,Unsecured Loan Basics,3123,personal/unsecured
184,3065,7 Ways to Make Extra Money and Pay Down Debt,138,debt-consolidation
183.6,25018,0% APR Car Deals: Is There a Catch?,99,auto
182.9,22732,LendingTree Ranks the Best and Worst Cities for New Small Businesses,8474,business/small
182.4,3486,3 things to know before you apply for a loan,146,home/mortgage
181.4,13603,Are FHA Loans Only for First-Time Homebuyers? No!,27,home/fha
181.2,3576,Engagement Ring Financing,3125,personal/wedding
181.1,20201,Should You Go Beyond the 20 Percent Down Payment?,146,home/mortgage
178.4,2332,Understanding Reverse Mortgage Interest Rates,234,home/reverse
177.3,13588,Reverse Mortgage Rules: What You Need to Know,234,home/reverse
177.2,7684,Guaranteed Loans: Why Personal Loans Are Often a Better Choice,164,personal
176.7,2227,5 Good Reasons to Refinance Your Car,7509,auto/refinance/car-loans
176.5,3291,How Do Personal Loans Work?,164,personal
176.4,2309,How Does a Reverse Mortgage Work?,234,home/reverse
175.4,5727,What's The Difference Between Freelancer and Small Business Owner Roles?,129,business
175,3240,Secured Loans,164,personal
174.4,20748,Taking Advantage of the Home Mortgage Interest Tax Deduction,146,home/mortgage
174,2238,How to Improve Your Credit Score,20369,credit-repair
173.5,3044,Low Interest Auto Loans: Saving Money On Your Next Car,99,auto
173.4,2307,8 Situations When You Should Consider a Reverse Mortgage,234,home/reverse
173.2,3108,What is a Consolidation Loan?,138,debt-consolidation
173.2,2348,FHA Interest Rates: Why Consider an ARM Loan,27,home/fha
172,5986,Is a 5/5 ARM the Mortgage Loan for You?,5299,home/mortgage/rates
171.1,3451,Mortgage Closing: How it Works,7445,home/mortgage/closing-process
170.8,3522,Down Payment Assistance Programs,7449,home/mortgage/down-payment
170.7,5555,Federal Funds Rate: How the Fed Impacts Interest Rates,146,home/mortgage
170.5,3503,Which is better: PMI or piggyback loan?,7449,home/mortgage/down-payment
170.1,5787,How to read a mortgage statement,146,home/mortgage
169.3,22966,5 Smart Ways to Leverage Your Home Equity,142,home/home-equity
168.9,7971,5 Steps to an Easy Loan,7592,personal/emergency
168.4,5740,7 things to look for in your mortgage loan,146,home/mortgage
168.3,23624,Should I Build an Emergency Fund or Pay Off Debt?,138,debt-consolidation
167.3,25368,Cash-Out Refinance for Home Improvements,7459,home/refinance/cash-out
165.9,25777,LendingTree Ranks Cities With the Highest Share of Cash-Out Refinance Borrowers,7459,home/refinance/cash-out
165.6,3013,Subprime Auto Loans: Getting the Best Loan,99,auto
165.3,3546,The Truth-in-Lending Disclosure Statement is now the Loan Estimate (for Most People),146,home/mortgage
164.6,673,The Advantages and Disadvantages of Startup Loans,129,business
